"categoria","pregunta","respuesta"
"politicas","¿Cuál es la política de mora?","Toda transacción con más de 30 días de mora (dias_mora > 30) debe generar una alerta diaria hacia el área de Finanzas, según la regla 'Priorizar mora'."
"politicas","¿Qué campos son obligatorios para que una transacción sea considerada completa?","documento_ref, centro_costo y responsable no deben quedar vacíos; si falta alguno, la transacción se marca para revisión según la regla 'Validar campos obligatorios'."
"politicas","¿Cuál es la política frente a transacciones duplicadas?","Ningún transaccion_id debe repetirse; si se detecta una repetición, se debe generar una alerta con los IDs en conflicto antes de permitir la carga al ERP, según la regla 'Detectar duplicados'."
"politicas","¿Qué pasa con las transacciones en moneda extranjera?","Toda transacción en una moneda distinta a COP (por ejemplo USD) se separa hacia un flujo de conversión de moneda o tesorería, según la regla 'Separar moneda extranjera'."
"politicas","¿Qué se hace con una transacción en estado 'Diferencia'?","Se crea un ticket de auditoría que incluya las observaciones y el documento de referencia, según la regla 'Auditar diferencias', para investigar y documentar la causa exacta antes de cerrarla."
"glosario","¿Qué significa el campo motivo_revision?","Es el campo que explica por qué una transacción fue marcada para revisión; puede contener uno o varios motivos combinados (por ejemplo 'Monto alto; Documento faltante'), separados por punto y coma."
"glosario","¿Qué significa el campo dias_mora?","Es el número de días que ha transcurrido desde la fecha de vencimiento de la transacción sin que se haya conciliado; entre más alto, mayor la urgencia de atenderla."
"glosario","¿Qué significa el campo nivel_riesgo?","Es una clasificación (Bajo, Medio o Alto) que indica qué tan crítico es atender esa transacción, generalmente combinando factores como el monto, el tipo de incidencia y los días de mora."
"glosario","¿Qué significa el campo requiere_revision?","Es un indicador (Sí/No) que marca si la transacción necesita intervención humana antes de poder cerrarse, en vez de conciliarse automáticamente."
"glosario","¿Qué significa el campo estado_conciliacion y qué valores puede tener?","Indica en qué punto del proceso está la transacción. Los valores típicos son: Conciliado (ya cerrada y validada), Pendiente (aún sin revisar), Diferencia (valores no coinciden), Rechazado (no se pudo validar), y Duplicado (aparece repetida)."
"glosario","¿Qué significa el campo centro_costo?","Es la clasificación interna que indica a qué área o proyecto de la empresa pertenece el gasto o ingreso registrado en la transacción; se usa para reportes de gestión por área."
"glosario","¿Qué significa el campo canal en una transacción?","Indica el medio por el cual se originó la transacción (por ejemplo, transferencia, PSE, tarjeta, efectivo), lo cual puede ayudar a identificar patrones de riesgo según el canal."
"casos","Tengo una transacción con 'Documento faltante', ¿qué debo hacer?","Solicita el soporte documental (factura o comprobante equivalente) al responsable o proveedor/cliente asociado. La transacción no puede cerrarse hasta que el documento esté cargado y validado. Prioridad: Alta. Se recomienda escalar si no se resuelve en 48 horas."
"casos","Tengo una transacción con 'Responsable vacío', ¿qué debo hacer?","Asigna un responsable según el centro de costo o la empresa de la transacción. Sin esto, nadie da seguimiento y la transacción queda huérfana. Prioridad: Media, se recomienda resolver en 24 horas."
"casos","Tengo una transacción con 'Monto alto', ¿qué debo hacer?","Solicita la aprobación adicional de un responsable con nivel jerárquico suficiente antes de conciliar. Esto reduce el riesgo financiero y de fraude en transacciones de alto valor. Prioridad: Alta."
"casos","Tengo una transacción duplicada, ¿qué debo hacer?","Bloquea de inmediato su carga al ERP y compara los campos clave (fecha, monto, contraparte, documento soporte) entre los registros en conflicto para determinar cuál es válido y anular el otro. Prioridad: Alta, acción inmediata."
"casos","Tengo una transacción con mora prolongada, ¿qué debo hacer?","Escala al responsable directo y notifica al área de Finanzas, ya que el riesgo financiero aumenta mientras más tiempo pase sin resolverse. Prioridad: Alta si supera 30 días de mora."
"casos","¿Cuál es el motivo de revisión más frecuente que se ha observado históricamente?","En los datos históricos de este proyecto, 'Conciliación no cerrada' es el motivo más frecuente, seguido de 'Monto alto'. Esto sugiere que la mayoría de las incidencias vienen de transacciones que simplemente no se han revisado a tiempo, no de errores graves."
